Iteration,ADAM_0.1,ADAM_0.5,GD_0.01,GD_0.05,GD_0.1,GD_0.5
0,0.9787266727303152,0.9797967968281167,0.9862626719157838,0.9727777304732002,0.9785615584229026,0.9953248947059405
1,0.9787266727255346,0.979796796824677,0.9859019227875188,0.9722647793946034,0.9782038150035911,0.9951327671322096
2,0.9787266727325159,0.979796796830785,0.9865030479726908,0.973039161229682,0.9787775772057671,0.9954184552751381
3,0.9787266727315664,0.9797967968290011,0.9863599837852997,0.9728742355400076,0.9787123066400986,0.9953587793676875
4,0.9787266727259961,0.9797967968234571,0.985880186830879,0.9722249750414133,0.9781393148409576,0.9951326530460252
5,0.9787266727345489,0.9797967968326287,0.9866171996707189,0.9732817992326689,0.9790065472433312,0.9954832584945104
6,0.9787266727289591,0.979796796827302,0.986269624475242,0.9726823442086447,0.9784765836438695,0.995289181697804
7,0.9787266727317012,0.9797967968290955,0.9863528230298231,0.9729218639993418,0.9787212016296237,0.9953522834072379
8,0.9787266727353723,0.9797967968331183,0.9865926819833784,0.9733972211631873,0.9790499558183274,0.9954906460671893
9,0.9787266727322821,0.9797967968301362,0.9863982600776714,0.9730199610627673,0.9787628630437979,0.9953640012217452
10,0.9409648948018493,0.7516352168011187,0.9861766517212015,0.9719374546553811,0.977329600528309,0.9941825596075418
11,0.94096489479432,0.7516352167933509,0.9858150786911775,0.9714191873083038,0.976963920057546,0.9939680233081096
12,0.9409648948051746,0.7516352167872353,0.9864177502295945,0.9722027245392872,0.9775506176691666,0.9942892629844712
13,0.940964894803413,0.7516352168064941,0.9862741109254495,0.9720348779182835,0.977483873934796,0.9942215656406883
14,0.9409648947953952,0.7516352167883302,0.985793176088054,0.9713783378800199,0.9768979101923099,0.9939660436388961
15,0.9409648948094006,0.7516352168041279,0.9865324606122625,0.9724499327425875,0.9777873688612452,0.9943649459729966
16,0.9409648947978442,0.7516352167936529,0.9861832637954896,0.9718380789410948,0.9772392227669308,0.9941389359866359
17,0.9409648948040876,0.7516352167932252,0.9862671556747584,0.972084415916402,0.9774931968451321,0.994212637478588
18,0.9409648948128781,0.7516352168222861,0.9865080836661916,0.9725702956731366,0.977836058210718,0.9943756108973215
19,0.9409648948066819,0.7516352168161917,0.9863130486436672,0.9721869571105184,0.9775420462838593,0.9942327947360765
20,0.8863093125826733,0.3032931192732412,0.9860900349391312,0.9710702301558387,0.9760243728272998,0.9926978374953199
21,0.886309312574068,0.30329311926148944,0.9857276370534089,0.9705466451985805,0.9756505862810398,0.9924581193270121
22,0.8863093125847197,0.30329311927202995,0.9863318576256208,0.9713393557811756,0.9762503597149731,0.9928201318020722
23,0.8863093125844383,0.30329311927479863,0.9861876414147964,0.971168576905805,0.976182225647005,0.992742772104865
24,0.8863093125757009,0.30329311926673597,0.985705566574663,0.970504737250282,0.9755830455963498,0.9924537571232065
25,0.8863093125914727,0.30329311927811825,0.9864471297050403,0.9715912326621806,0.9764952040700186,0.9929087860899404
26,0.886309312575562,0.3032931192724225,0.9860963035436405,0.9709667466015226,0.975928307698215,0.9926440607757799
27,0.8863093125856338,0.30329311926899355,0.9861808941683904,0.9712201036131075,0.9761920546886651,0.9927312173263567
28,0.886309312599499,0.3032931192996385,0.9864228955137166,0.971716712263245,0.9765495307385056,0.9929241493874151
29,0.8863093125909801,0.3032931192870423,0.9862272459822528,0.9713272239042727,0.9762485634041017,0.9927625499321098
30,0.823983471317254,0.22278275803003486,0.9860028170153766,0.9701751792572587,0.9746417084564809,0.9907491149923795
31,0.8239834713084342,0.2227827580477714,0.985639593331487,0.9696462767849721,0.974259637529258,0.9904812859663341
32,0.8239834713149033,0.222782758032766,0.9862453655982264,0.9704481743402364,0.9748726188302028,0.9908898596093442
33,0.8239834713189105,0.22278275803096145,0.986100570697378,0.9702744550886708,0.9748031901146537,0.9908009945578303
34,0.8239834713104706,0.22278275804604347,0.9856173537399812,0.9696032964593903,0.9741905459379364,0.9904738610040988
35,0.8239834713241171,0.22278275801914935,0.9863612024033788,0.9707048206550978,0.9751258849501211,0.9909940065297272
36,0.8239834713075812,0.22278275803673098,0.9860087391460277,0.9700674672125272,0.9745396584684463,0.9906822814921196
37,0.8239834713194355,0.2227827580486367,0.9860940339788579,0.9703280520965281,0.9748136095181522,0.9907867716384903
38,0.8239834713377692,0.22278275802823289,0.9863371130014652,0.9708355978890291,0.9751862234087557,0.9910160695847934
39,0.8239834713286829,0.22278275802597908,0.9861408475758002,0.9704398898657806,0.9748782721640653,0.9908328720086939
40,0.7568264851995942,0.1992695531766548,0.9859149933592433,0.9692513924284677,0.9731772241323086,0.9881666434449962
41,0.756826485190095,0.19926955320092557,0.9855509429463666,0.9687171739948572,0.9727866799348586,0.9878677827092908
42,0.7568264851930351,0.1992695531748084,0.986158269548089,0.9695282675887453,0.9734129932155456,0.9883290059930058
43,0.7568264852001663,0.1992695531732041,0.9860128941807348,0.9693516032623675,0.9733423785563502,0.9882267821475021
44,0.7568264851928795,0.1992695531868574,0.9855285329969359,0.9686731069816968,0.9727160183552209,0.9878563982966423
45,0.7568264852036697,0.19926955315723086,0.986274674124914,0.9697897864505561,0.9736750274154999,0.9884516708678521
46,0.7568264851885305,0.19926955318911838,0.9859205659924019,0.9691393289556866,0.9730688782189741,0.9880830158092018
47,0.7568264851999147,0.19926955318615278,0.9860065705379888,0.9694073546442061,0.9733534786614261,0.9882101486710988
48,0.75682648522304,0.1992695531563365,0.9862507315684728,0.9699260477027009,0.973741770524939,0.9884832541289864
49,0.7568264852137165,0.1992695531636151,0.9860538488704064,0.9695240517535293,0.9734268141521334,0.9882757204343753
50,0.682299759374583,0.13997887536698267,0.9858265593432739,0.9682979269934903,0.9716263047954298,0.9847152333067252
51,0.682299759364153,0.13997887537677095,0.9854616812824208,0.9677583956378053,0.9712270865407511,0.9843827099135801
52,0.6822997593653296,0.13997887536858905,0.9860705648388391,0.9685786895417674,0.9718668485599157,0.9849023380954922
53,0.6822997593731525,0.13997887535889847,0.9859246072356471,0.9683990791003454,0.9717951697057984,0.984785356131973
54,0.6822997593678052,0.13997887536098916,0.9854390997218438,0.9677132271310338,0.9711548368440628,0.9843662027339091
55,0.6822997593766329,0.1399788753491835,0.9861875402503248,0.968845186502811,0.9721380160241153,0.9850471299221724
56,0.6822997593633265,0.13997887537444656,0.9858317794356684,0.968181386838267,0.9715113378479334,0.9846100560920462
57,0.682299759372867,0.1399788753593276,0.9859184992410356,0.9684570714766959,0.9718070470745823,0.984767093260281
58,0.6822997594013837,0.13997887534562764,0.9861637466170319,0.9689871237146764,0.9722115755055618,0.9850922000931239
59,0.682299759390988,0.13997887535957107,0.985966245275628,0.9685787733341481,0.971889599460481,0.9848582539147592
60,0.5973242426274445,0.12346615496223616,0.9857375103029845,0.967313805769586,0.9699840857959471,0.980076481522145
61,0.5973242426164205,0.12346615495482578,0.9853718036871776,0.9667689660495636,0.969575979517747,0.9797083320328628
62,0.597324242616328,0.12346615497074812,0.9859822467967898,0.9675984594800356,0.9702293003671129,0.9802905775692808
63,0.5973242426239613,0.12346615495662457,0.9858357051958704,0.9674159057913567,0.970156691998597,0.9801588308902641
64,0.5973242426202623,0.12346615495152898,0.9853490492541503,0.9667226807027376,0.969502124446251,0.9796852581753942
65,0.597324242628648,0.123466154960117,0.9860997961230623,0.9678700426181921,0.9705099863301754,0.9804617890801985
66,0.5973242426173802,0.12346615495979689,0.9857423747916231,0.9671926613288395,0.9698621582028769,0.9799438215189683
67,0.5973242426242147,0.12346615494955304,0.9858298154464122,0.9674762283990948,0.9701694495740731,0.9801405296662251
68,0.5973242426582104,0.12346615495727387,0.9860761535124256,0.9680178534224332,0.9705907932550634,0.9805258794408077
69,0.5973242426457768,0.12346615496700566,0.9858780321642181,0.9676030840224229,0.970261788930074,0.9802651484744311
70,0.5016907024313536,0.11030482334896163,0.9856478415365995,0.966298015679404,0.9682454323073106,0.9738389994445251
71,0.5016907024200681,0.11030482333955442,0.9852813054710567,0.9657478737107821,0.9678282096625089,0.9734342062312296
72,0.5016907024197501,0.11030482335495773,0.9858933107106672,0.9665865605452973,0.9684951935151027,0.9740798694371975
73,0.5016907024260036,0.11030482335041003,0.9857461833578706,0.9664010706506506,0.9684218030006448,0.9739363361559452
74,0.5016907024237643,0.11030482333905878,0.9852583768961652,0.9657004555904954,0.9677527327178753,0.9734029281196793
75,0.5016907024329516,0.11030482335915785,0.9860114370490806,0.9668633405546947,0.9687858044572847,0.974282650262125
76,0.5016907024237742,0.11030482334262648,0.9856523473386887,0.9661721369669672,0.9681161895089723,0.9736716752038813
77,0.5016907024271245,0.11030482334191585,0.9857405144754287,0.9664638154166327,0.9684355503352726,0.9739206217281327
78,0.5016907024659633,0.1103048233556481,0.9859879475826583,0.9670172284116401,0.9688743097682512,0.9743733316932672
79,0.5016907024507736,0.11030482335504695,0.9857892048718606,0.966595977494953,0.9685382736572166,0.9740886789155017
80,0.39972274972144434,0.09563570489683881,0.9855575483047858,0.9652495063433569,0.9664049156758259,0.9655106453180264
