Iteration,COBYLA,SLSQP,BFGS,L-BFGS-B,trust-constr
0,0.9869854624282299,0.9773411684524556,0.9879144900262837,0.9899143147351033,0.9885694249353278
1,0.9502705169597983,0.9773411679039098,0.9879144895938492,0.9899143145397924,0.9885694246182778
2,0.9351418137337626,0.9773411688121992,0.9879144902916221,0.9899143148574641,0.9885694251014125
3,0.9353835877191223,0.9773411685866702,0.9879144901098688,0.9899143147860302,0.9885694250919027
4,0.887913678855732,0.9773411678222994,0.9879144895621776,0.9899143144778695,0.9885694246395167
5,0.9742573667203394,0.9773411692235552,0.9879144904480498,0.9899143149826912,0.9885694253483945
6,0.7953533430954248,0.9773411682991343,0.9879144899498126,0.9899143146846463,0.9885694248367125
7,0.9697656411870226,0.97734116857471,0.9879144901037801,0.9899143147754049,0.988569424979886
8,0.9285439376031626,0.9773411692775547,0.9879144904941161,0.9899143149831516,0.9885694253207815
9,0.8613719783881238,0.9773411687553869,0.9879144901707235,0.9899143148313154,0.9885694251285149
10,0.42323841159400544,0.964629097756444,0.9800987523636273,0.845144825485032,0.9828933014470943
11,0.2723164327213775,0.9646290971128659,0.9800987518414445,0.8451448251791094,0.9828933010711234
12,0.38774702579984405,0.964629098206283,0.9800987526953332,0.8451448253430325,0.9828933016567646
13,0.2576727481710322,0.9646290979249066,0.9800987524722133,0.8451448253624886,0.9828933016333636
14,0.3770481924374349,0.9646290969978283,0.9800987517789466,0.8451448250694307,0.9828933011027206
15,0.27056305684379844,0.9646290987493552,0.9800987529129609,0.8451448261990511,0.9828933019669712
16,0.22897129329691265,0.9646290975247613,0.9800987522284064,0.8451448245021869,0.9828933013038366
17,0.2708540856653576,0.964629097916325,0.980098752480632,0.8451448255595226,0.9828933015041711
18,0.2525217391434286,0.9646290988688355,0.9800987530215297,0.8451448269968674,0.9828933017011362
19,0.21900165698244436,0.9646290982539947,0.9800987526152454,0.8451448267864075,0.9828933017372776
20,0.2608700062021311,0.8121002290621618,0.9329576860341782,0.8627215961621821,0.9439630355822397
21,0.1757094782445566,0.8121002282799996,0.9329576854516777,0.8627215963258905,0.9439630350215836
22,0.1815720177153832,0.8121002289900922,0.9329576863784101,0.862721596261769,0.943963035784224
23,0.1467340258762076,0.8121002294391652,0.9329576862290774,0.8627215960068527,0.9439630354600153
24,0.14010975719074423,0.8121002278440781,0.9329576852824149,0.862721596645569,0.9439630350948685
25,0.1520500891828731,0.8121002305345613,0.9329576868884646,0.8627215961092292,0.9439630356885459
26,0.10116800342598187,0.8121002280485847,0.9329576855260739,0.8627215968107494,0.9439630351683886
27,0.10710708543952792,0.8121002294021707,0.9329576863387448,0.8627215964192256,0.943963035743171
28,0.07244145236638981,0.8121002315561807,0.9329576874027227,0.8627215959400963,0.9439630351882962
29,0.07479677592152391,0.8121002317365823,0.9329576869128889,0.8627215971675242,0.943963036472792
30,0.07512354952179992,0.8121002317365823,0.6963398883858629,0.6067831307960794,0.8089392536164567
31,0.0584887865152819,0.8121002317365823,0.6963398874783451,0.6067831300361953,0.8089392523385829
32,0.06012641370698544,0.34123210727587955,0.6963398875029848,0.6067831299367852,0.8089392535402542
33,0.0684613321232471,0.29056463496446244,0.6963398887215778,0.6067831305186491,0.808939253294856
34,0.043149035529543,0.290564635741468,0.6963398875191237,0.6067831302899382,0.8089392524121471
