Iteration,BreastCostFunction
0,0.9890095669124012
1,0.9804444282596133
2,0.9673857422868569
3,0.9643128524427299
4,0.8818496126703022
5,0.960768993395836
6,0.7753317800307149
7,0.9878567432880647
8,0.8744258519905602
9,0.8766447022592877
10,0.3747957719697742
11,0.4076161635344909
12,0.3635285591631875
13,0.44921578303460774
14,0.478400632921253
15,0.2274496501197889
16,0.27065001706821357
17,0.5318977317759769
18,0.4185564482844979
19,0.5338085214000547
20,0.25691204526023026
21,0.30722506134043526
22,0.2476343115181303
23,0.21768666453575936
24,0.315775773986942
25,0.21671970064228863
26,0.2885466989094273
27,0.08285786838160492
28,0.13719266093440963
29,0.16251565786349453
30,0.11776852958627237
31,0.15964434874018663
32,0.08387917091734454
33,0.1419424285325066
34,0.13498321981337624
35,0.14154291252560047
36,0.15343743900507179
37,0.0829995463027573
38,0.09453236855357383
39,0.09139388569123197
40,0.08854159837526576
41,0.10491765106515594
42,0.11825015443072173
43,0.09327440220321692
44,0.11020299992537252
45,0.09513278016155591
46,0.08287285474596107
47,0.08993179484100733
48,0.11256497985556713
49,0.12868642654492946
50,0.11366384318410083
51,0.11882858764588988
52,0.11510875229571393
53,0.09894815085811204
54,0.09100306722859186
55,0.101559461684125
56,0.11717898809069505
57,0.09981090206378695
58,0.11051521139683707
59,0.0979163169344538
60,0.10721882993499732
61,0.10840417520490309
62,0.10897501857446801
63,0.1277103763681513
64,0.07798121403559777
65,0.11745421719613636
66,0.10977436665620122
67,0.11322631565763952
68,0.10045688921189189
69,0.10213760234901292
70,0.09657762233815348
71,0.10861598285479412
72,0.11361821788756998
73,0.11367474776249997
74,0.09212374760268749
75,0.1223958893221273
76,0.07997056091635368
77,0.10689196426896341
78,0.10578028727081201
79,0.10798525627864153
80,0.11139898886909305
81,0.10546790133544626
82,0.09867844417191907
83,0.09709242927055461
84,0.10561221661816134
85,0.10870279477966349
86,0.10446951808697458
87,0.10431640083287474
88,0.12220762224645343
89,0.10118782095821988
90,0.08647068093365584
91,0.11697114090541616
92,0.11595490537586683
93,0.11891664536752244
94,0.1148640195306444
95,0.09008734156740938
96,0.09156591841717276
