Iteration,IrisCostFunction
0,0.9730146375360418
1,0.923583569956226
2,0.9516499323020285
3,0.9582653843011978
4,0.9185213954393978
5,0.9816196570535334
6,0.8111476935271977
7,0.8883084552647093
8,0.9995234429886574
9,0.8097844113136158
10,0.5863679140235842
11,0.22581602702115566
12,0.39044990073252683
13,0.16384022404345677
14,0.1765876438815478
15,0.114299691287026
16,0.30054562405806784
17,0.1788415011023906
18,0.4119545374619845
19,0.15512922858035683
20,0.11058265822723046
21,0.14581331062110958
22,0.2273249074724586
23,0.11068700416686372
24,0.3592006891529782
25,0.1206310049704794
26,0.09508636017011252
27,0.19181790622177897
28,0.12347177588325065
29,0.1032351374517334
30,0.10223995113080808
31,0.06791758825677807
32,0.05212943050242891
33,0.06684685216787445
34,0.05470577587401915
35,0.06912231039458805
36,0.05605337496436957
37,0.054639257383854
38,0.06067947457741407
39,0.05997161471853807
40,0.06662921851777703
41,0.06171731365006139
42,0.05218849353310695
43,0.053307553570864696
44,0.05420491368857305
45,0.044278639832647015
46,0.05086611059125512
47,0.04544634324046892
48,0.04159431624927201
49,0.06295135899571858
50,0.047389304836219726
51,0.05513382585076698
52,0.05186173323876908
53,0.04136555953741705
54,0.049398797116078086
55,0.052647031065503835
56,0.049755383728206315
57,0.04592174615350897
58,0.046086229616434715
59,0.04792716366425109
60,0.0488970937382146
61,0.04142944656693792
62,0.05110309936079427
63,0.045949231365260634
64,0.04438611356526423
65,0.04551639644818806
66,0.03528851401168287
67,0.04464572363638142
68,0.038942509272579584
69,0.046007094251214076
70,0.051212013745966956
71,0.04989285882791272
72,0.059776041783598965
73,0.05104878779426192
74,0.046172891099035995
75,0.034635539772045254
76,0.041658131414151534
77,0.05309107583893746
78,0.03401374331572449
79,0.05421004271157881
80,0.041385594365235256
81,0.0522798946897729
82,0.053525569756229685
83,0.042050655410258875
84,0.04631793394450734
85,0.04016033324067769
86,0.0450592012417117
87,0.050351706225519766
88,0.03687107202362905
89,0.047450918776247186
90,0.046267097983787364
91,0.037819111410027806
92,0.04712421321107951
93,0.039563980370653784
94,0.04871934946141787
95,0.04208408496652183
96,0.041156647806868674
97,0.04560825441780447
98,0.03987148396620088
99,0.046666991645957445
100,0.035873903318148326
101,0.04356662542541978
102,0.042431775263859994
103,0.04216057815938501
104,0.042810329825927806
105,0.036353544106712876
106,0.044700973677933575
107,0.044901056440322495
108,0.04093290162297969
109,0.042391802776778675
110,0.03853901714538821
111,0.057589327892991315
112,0.03671142504989999
113,0.04866407570785236
114,0.05415637112152483
115,0.05048324206170929
