Iteration,iris
0,0.9892944124308561
1,0.9562925189694917
2,0.9488847809940062
3,0.9343104251618748
4,0.8618206593299813
5,0.964541869041059
6,0.7328463728807234
7,0.9640918947580467
8,0.8876901288137466
9,0.8085678224606857
10,0.3397824425536358
11,0.22312058085651953
12,0.28824530379978575
13,0.2869033166762848
14,0.31740671370144746
15,0.2161594257232357
16,0.2217498430142047
17,0.17481938359524
18,0.1823844670867059
19,0.16215807980722502
20,0.296282069571902
21,0.16400161321290496
22,0.12132756738332776
23,0.14368257401794554
24,0.10210128151193273
25,0.09746854805677777
26,0.06804200774958638
27,0.057839812546076605
28,0.06700052321953429
29,0.04933704841775223
30,0.052488460460294026
31,0.04410790416925211
32,0.03871336413714109
33,0.039309691625651844
34,0.03557716201215709
35,0.03156378297195056
36,0.027340232349619555
37,0.027001172930342487
38,0.02231420320431937
39,0.02497353554391405
40,0.02415506769324651
41,0.018217646378547704
42,0.01694574892116134
43,0.015501917103623608
44,0.014756367230417433
45,0.014670742204178433
46,0.01297450975476785
47,0.014281598040942011
48,0.011659522401675448
49,0.013374161836399523
50,0.01049927768498612
51,0.010583120492285093
52,0.01113982344066874
53,0.008192146807787792
54,0.008761480823433199
55,0.007930711834539528
56,0.00789380882405214
57,0.00819946456241769
58,0.006795935760272986
59,0.007497212739479009
60,0.006410957822432828
61,0.005677165490881075
62,0.006027365701900611
63,0.00523356412535877
64,0.004872597189721062
65,0.004455273254447079
66,0.004377651885800882
67,0.0044633077240593625
68,0.004032608580439223
69,0.003598032087468872
70,0.003464236726388814
71,0.0031662075030974624
72,0.0031500168140235264
73,0.0030506101135304386
74,0.0027761247334506466
75,0.002662478265881463
76,0.0026727825790254676
77,0.0024193494627344435
78,0.002486162168485506
79,0.002348628084104798
80,0.002202381088533778
81,0.002181412225811685
82,0.0020929132150722452
83,0.0020342145421129556
84,0.00194336353491239
85,0.0018826875564028401
86,0.0018093258637272847
87,0.0017478865446584723
88,0.0017614825554378099
89,0.0016884985336442226
90,0.0016155712826295798
91,0.0015983307838242755
92,0.0014219953403159958
93,0.0014718518933126367
94,0.001419685892775957
95,0.0013006626330596461
96,0.001272391765650993
97,0.0012630863124237779
98,0.0012241335864614622
99,0.0012525519459186784
100,0.001266904747872999
101,0.0012505757217986858
102,0.0011696414264836363
103,0.0011049335222656498
104,0.0011306162326084612
105,0.0010813254356499269
106,0.0010504735828609113
107,0.001058706391291342
108,0.0009793173057694338
109,0.000974859338022338
110,0.0009762360663859937
111,0.0010426915955976778
112,0.0009911142350594205
113,0.0009400236631559644
114,0.0008753889734217424
115,0.00086216532397696
116,0.000903473160465873
117,0.000845371129644601
118,0.0008952372154184096
119,0.0008564403151421929
120,0.0008307996206060819
121,0.0008130114883039385
122,0.000820768127441207
123,0.0008914939747241112
124,0.0007823591568136834
125,0.000799210177826637
126,0.0007950155735015785
127,0.0007887612473968964
128,0.0007605307624176993
129,0.0007642586491121595
130,0.0007609154635666249
131,0.000751788967650413
132,0.0007485267633621451
133,0.0007486148923200875
134,0.0007454771105212088
135,0.000732242259446092
136,0.000723633717480432
137,0.0007191855594904873
138,0.0007186967849627912
139,0.000723829481177951
140,0.000713715900322942
141,0.0007062269875792171
142,0.0007128039268257114
143,0.0006973463606619101
144,0.0006928978643607198
145,0.0006911484583511984
146,0.0006846436841968951
147,0.0006771539782180702
148,0.0006755192300315404
149,0.0006691298214741903
150,0.0006664764036526938
151,0.000661619267634328
152,0.0006553672422155654
153,0.000651391949040836
154,0.0006506637424748774
155,0.0006506716697483817
156,0.0006475527431982653
157,0.0006406801643595195
158,0.0006387575273229307
159,0.0006395897142134954
160,0.0006318429972300144
161,0.0006288522561546994
162,0.0006293569389011378
163,0.0006281408473865491
164,0.0006336136794798941
165,0.0006260744410678032
166,0.0006247981156840554
167,0.0006230720650371891
168,0.0006182436136812685
169,0.000617185011198984
170,0.0006171441300180991
171,0.0006156314812668873
172,0.0006101767708286965
173,0.000605647081276095
174,0.0006076312793029337
175,0.0006039030752261643
176,0.000602662080544436
177,0.0006030360472889295
178,0.0006022377129342394
179,0.0005984331761344719
180,0.0005965716155058476
181,0.0005975597734716786
182,0.0005961309823690697
183,0.0005961243911430603
184,0.000595134890886051
185,0.000593212516864694
186,0.0005906278750504423
187,0.0005876687862200302
188,0.0005854071355674173
189,0.0005841845556438629
190,0.0005830859246346964
191,0.000580428480197559
192,0.0005795689126983472
193,0.0005788294449209586
194,0.0005771382230381316
195,0.0005754455853284934
196,0.0005752501666063559
197,0.000574887370772914
198,0.000572009507787441
199,0.0005713483644389728
