Iteration,ADAM_0.75,ADAM_0.9,GD_0.6,GD_0.7,GD_0.8,GD_0.9
0,0.9838249674055423,0.9809716851431931,0.9904722116449947,0.9949444711749479,0.9843433866632644,0.9839504441031073
1,0.9838249674009045,0.9809716851388421,0.9902242179341796,0.9947576644500267,0.9841085698427271,0.9836549972340167
2,0.9838249674072532,0.9809716851453185,0.9906437097387997,0.9950162883672393,0.9844696537066919,0.9841466440245101
3,0.9838249674052986,0.9809716851439816,0.9906096059358707,0.9949883879758004,0.9844681995918305,0.9840364112466192
4,0.98382496740232,0.9809716851391734,0.9901500109744179,0.9947099660159525,0.9839785949601871,0.9836278235947506
5,0.9838249674085633,0.9809716851475502,0.9907415966465383,0.9951075589815721,0.984716725903564,0.9843791330585058
6,0.9838249674038048,0.9809716851422647,0.9905037368783527,0.9949052519005097,0.984264365168853,0.9838450556840874
7,0.9838249674066404,0.9809716851445177,0.9904989841634617,0.9949961329687312,0.9844245465327907,0.9840703075506936
8,0.9838249674098659,0.9809716851482462,0.9906894220703288,0.995094751569575,0.9847142214802662,0.9843763095014786
9,0.9838249674066235,0.9809716851448448,0.990630866197502,0.9950043322924473,0.9844680850942193,0.9840793249312003
10,0.6590599353301677,0.6610334594444373,0.9870588712388599,0.9933720708561825,0.9764821510467364,0.9743246405808819
11,0.6590599353121679,0.6610334594251719,0.9867809045297256,0.9931618859581691,0.9762085344864598,0.9739754660680688
12,0.6590599353051416,0.6610334594249683,0.9872611253010387,0.9934561098988951,0.9766310846234413,0.9745683642646629
13,0.6590599353257709,0.6610334594567021,0.9872187970430291,0.9934203569267599,0.9766323879778183,0.974433405756491
14,0.6590599353137105,0.6610334594349254,0.9866962616146875,0.9931052988238521,0.9760495980953003,0.9739327746087223
15,0.6590599353217932,0.6610334594482014,0.9873802217421727,0.9935646696511362,0.9769380385877413,0.974873289410332
16,0.6590599353285886,0.6610334594464249,0.9870854366928568,0.9933202531275699,0.9763698553246174,0.974169741552006
17,0.6590599353077652,0.6610334594272345,0.9870893474149038,0.9934305379479837,0.9765847784853434,0.9744737565995829
18,0.6590599353554554,0.6610334594634795,0.9873288080500047,0.9935564675623043,0.9769679073843065,0.9748971594718047
19,0.659059935335299,0.6610334594546088,0.9872629975875531,0.9934479678793992,0.9766724921638351,0.9745381458884654
20,0.25861905307479427,0.32218325395700304,0.9824213644463672,0.991236198667236,0.9641618082388232,0.9584148558226822
21,0.25861905308142424,0.3221832539770545,0.9821130695340441,0.9909998424190144,0.9638516605715532,0.9580129763518809
22,0.25861905307906896,0.32218325396445097,0.9826566562311356,0.991334753169056,0.9643228667022647,0.958697960333272
23,0.2586190530769762,0.32218325394777086,0.9826073505162503,0.9912890415492293,0.9643434510902363,0.9585508276688517
24,0.25861905308469446,0.32218325397345043,0.9820164942294541,0.9909322906316185,0.9636603918288593,0.9579507897027308
25,0.25861905307641864,0.322183253944006,0.9828021897862993,0.9914645863900654,0.964703745628381,0.9590993017702788
26,0.25861905309841104,0.3221832539668098,0.9824387316341939,0.9911674863795896,0.9640048019890566,0.9581875081861533
27,0.25861905308482447,0.3221832539770513,0.9824573562270901,0.991303245245023,0.9642985554190014,0.9586061926224778
28,0.2586190530955854,0.3221832539398912,0.9827544114414181,0.9914639930240966,0.964790145712786,0.9591756468860002
29,0.2586190530585098,0.3221832539492754,0.9826843906541137,0.9913337029788568,0.9644543595060634,0.9587673213423022
